accounts-qml-module 0.7-4
haskell-psqueues 0.2.7.3-48
haskell-quickcheck 2.14.2-371
haskell-random 1.2.1.1-69
haskell-recv 0.0.0-5
haskell-resourcet 1.2.6-16
haskell-safe 0.3.19-8
haskell-safe-exceptions 0.1.7.3-24
haskell-scientific 0.3.7.0-79
haskell-semialign 1.2.0.1-86
haskell-semigroupoids 5.3.7-70
haskell-servant 0.19.1-1
haskell-servant-server 0.19.2-1
haskell-sha 1.6.4.4-19
haskell-simple-sendfile 0.2.30-322
haskell-singleton-bool 0.1.6-7
haskell-skylighting 0.13.1.1-2
haskell-skylighting-core 0.13.1.1-2
haskell-skylighting-format-ansi 0.1-16
haskell-skylighting-format-blaze-html 0.1.1-12
haskell-skylighting-format-latex 0.1-16
haskell-socks 0.6.1-198
haskell-some 1.0.4.1-1
haskell-sop-core 0.5.0.2-1
haskell-split 0.2.3.5-12
haskell-splitmix 0.1.0.4-108
haskell-statevar 1.2.2-2
haskell-streaming-commons 0.2.2.5-2
haskell-strict 0.4.0.1-140
haskell-string-conversions 0.4.0.1-137
haskell-syb 0.7.2.2-10
haskell-tagged 0.8.6.1-5
haskell-tagsoup 0.14.8-192
haskell-temporary 1.3-480
haskell-texmath 0.12.5.4-5
haskell-text-conversions 0.3.1.1-27
haskell-text-icu 0.8.0.2-15
haskell-text-short 0.1.5-45
haskell-th-abstraction 0.4.5.0-1
haskell-th-compat 0.1.4-9
haskell-th-lift 0.8.2-13
haskell-th-lift-instances 0.1.20-11
haskell-these 1.1.1.1-167
haskell-time-compat 1.9.6.1-63
haskell-time-manager 0.0.0-278
haskell-tls 1.6.0-20
haskell-transformers-base 0.4.6-68
haskell-transformers-compat 0.7.2-1
haskell-type-equality 1-12
haskell-typed-process 0.2.10.1-20
haskell-unicode-collation 0.1.3.3-5
haskell-unicode-data 0.4.0-3
haskell-unicode-transforms 0.4.0.1-35
haskell-uniplate 1.6.13-159
haskell-unix-compat 0.6-36
haskell-unix-time 0.4.8-8
haskell-unliftio 0.2.23.0-1
haskell-unliftio-core 0.2.0.1-9
haskell-unordered-containers 0.2.19.1-43
haskell-utf8-string 1.0.2-116
haskell-uuid-types 1.0.5-83
haskell-vault 0.3.1.5-122
haskell-vector 0.13.0.0-9
haskell-vector-algorithms 0.9.0.1-17
haskell-vector-stream 0.1.0.0-1
haskell-wai 3.2.3-159
haskell-wai-app-static 3.1.7.4-91
haskell-wai-extra 3.1.12.1-88
haskell-wai-logger 2.4.0-152
haskell-warp 3.3.23-11
haskell-witherable 0.4.2-27
haskell-word8 0.1.3-22
haskell-x509 1.7.7-23
haskell-x509-store 1.6.9-48
haskell-x509-system 1.6.7-51
haskell-x509-validation 1.6.12-53
haskell-xml 1.3.14-30
haskell-xml-conduit 1.9.1.1-153
haskell-xml-types 0.3.8-8
haskell-yaml 0.11.8.0-69
haskell-zip-archive 0.4.2.2-6
haskell-zlib 0.6.3.0-26
hdparm 9.65-1
helvum 0.3.4-1
hicolor-icon-theme 0.17-2
hidapi 0.12.0-1
highway 1.0.2-1
htop 3.2.1-1
hunspell 1.7.1-1
hwdata 0.363-1
hwinfo 22.1-1
hwloc 2.8.0-1
hyphen 2.8.8-4
iana-etc 20221025-1
ibus 1.5.27-1
icu 72.1-1
ijs 0.35-4
imagemagick 7.1.0.51-1
imath 3.1.5-3
imlib2 1.9.1-2
iniparser 4.1-4
intel-ucode 20220809-1
iproute2 6.0.0-1
iptables 1:1.8.8-2
iputils 20211215-1
ipython 8.6.0-1
irssi 1.4.3-1
iso-codes 4.11.0-2
isync 1.4.4-1
iw 5.19-1
jansson 2.14-2
jasper 3.0.6-1
java-environment-common 3-3
java-runtime-common 3-3
jbig2dec 0.19-1
jdk 18.0.1-1
jq 1.6-4
jre 18.0.1-1
json-c 0.16-1
json-glib 1.6.6-2
jsoncpp 1.9.5-2
jupyter-nbclassic 0.4.7-1
jupyter-nbclient 0.7.0-1
jupyter-nbconvert 7.2.3-1
jupyter-nbformat 5.7.0-1
jupyter-notebook 6.5.2-1
jupyter-notebook-shim 0.2.0-1
jupyter-server 1.21.0-1
jupyter_console 6.4.4-2
jupyterlab 3.5.0-1
jupyterlab_pygments 0.2.2-1
kaccounts-integration 22.08.2-1
kactivities 5.99.0-1
kactivities-stats 5.99.0-1
kactivitymanagerd 5.26.2-1
karchive 5.99.0-1
kauth 5.99.0-1
kbd 2.5.1-1
kbookmarks 5.99.0-1
kcmutils 5.99.0-2
kcodecs 5.99.0-1
kcompletion 5.99.0-1
kconfig 5.99.0-1
kconfigwidgets 5.99.0-1
kcoreaddons 5.99.0-1
kcrash 5.99.0-1
kdbusaddons 5.99.0-1
kde-cli-tools 5.26.2-1
